name,idade,local
Kamaru Usman,33,"Auchi, Nigéria"
Alex Perez,29,"Hanford, Estados Unidos"
Brandon Royval,29,"Denver, Estados Unidos"
Matheus Nicolau,27,"State of Minas Gerais, Brasil"
David Dvorak,28,"Horice, Tchéquia"
Matt Schnell,31,"Amory, Estados Unidos"
Jan Blachowicz,37,"Cieszyn, Polônia"
Rogério Bontorin,27,"Adrianópolis, Brasil"
Amir Albazi,26,"Baghdad, Iraque"
Robert Whittaker,29,"Otahuhu, Austrália"
Kai Kara France,27,"Auckland, Nova Zelândia"
Askar Askarov,27,"Republic of Dagestan, Rússia"
Su Mudaerji,24,"Sichuan, China"
Alexandre Pantoja,31,"Rio de Janeiro, Brasil"
Julia Avila,33,"Los Angeles, Estados Unidos"
Pannie Kianzad,28,"Ahwaz, Irã"
Karol Rosa,25,"Vila Velha, Brasil"
Brandon Moreno,26,"Tijuana, México"
Lina Lansberg,38,"Karlstad, Suécia"
Deiveson Figueiredo,32,"Soure, Brasil"
Santiago Ponzinibbio,34,"La Plata, Argentina"
Norma Dumont Viana,29,"Belo Horizonte, Brasil"
Sara McMann,39,"Takoma Park, Estados Unidos"
Yana Kunitskaya,31,"Murmansk, Rússia"
Macy Chiasson,29,Estados Unidos
Miesha Tate,34,"Tacoma, Estados Unidos"
Raquel Pennington,33,"Colorado Springs, Estados Unidos"
Ketlen Vieira,29,"State of Amazonas, Brasil"
Erin Blanchfield,22,Estados Unidos
Maycee Barber,23,"Greeley, Estados Unidos"
Manon Fiorot,30,"Nice, França"
Casey O'Neill,23,"Irvine, Reino Unido"
Alexa Grasso,28,"Guadalajara, México"
Cynthia Calvillo,33,"San Jose, Estados Unidos"
Jessica Eye,33,"Barberton, Estados Unidos"
Andrea Lee,31,"Atlanta, Estados Unidos"
Joanne Calderwood,34,"Irvine, Reino Unido"
Viviane Araújo,34,"Brasília, Brasil"
Taila Santos,27,"Jaraguá do Sul, Brasil"
Jennifer Maia,32,"Curitiba, Brasil"
Jessica Penne,38,"Newport Beach, Estados Unidos"
Angela Hill,35,"Clinton, Estados Unidos"
Virna Jandiroba,33,"State of Bahia, Brasil"
Amanda Lemos,34,"Belém, Brasil"
Luana Pinheiro,28,"João Pessoa, Brasil"
Amanda Ribas,26,"Varginha, Brasil"
Brianna Van Buren,26,"Gilroy, Estados Unidos"
Michelle Waterson,34,"Colorado Springs, Estados Unidos"
Tecia Torres,31,"Fall River, Estados Unidos"
Nina Nunes,35,"Weston, Estados Unidos"
Aspen Ladd,26,"Folsom, Estados Unidos"
Mackenzie Dern,28,"Glendale, Estados Unidos"
Lauren Murphy,37,"Anchorage, Estados Unidos"
Irene Aldana,32,"Culiacán, México"
Yan Xiaonan,31,"Liaoning, China"
Katlyn Chookagian,31,"Quakertown, Estados Unidos"
Marina Rodriguez,33,"Bagé, Brasil"
Carla Esparza,33,"Los Angeles, Estados Unidos"
Holly Holm,39,"Albuquerque, Estados Unidos"
Jessica Andrade,29,"Umuarama, Brasil"
Zhang Weili,32,"Hebei, China"
Julianna Peña,31,"Spokane, Estados Unidos"
Rose Namajunas,28,"Milwaukee, Estados Unidos"
Amanda Nunes,32,"Pojuca, Brasil"
Valentina Shevchenko,33,"Bishkek, Quirguistão"
Sergei Pavlovich,29,"Orlovsky, Rússia"
Walt Harris,37,"Birmingham, Estados Unidos"
Blagoy Ivanov,33,"Sofia, Bulgária"
Augusto Sakai,30,"Curitiba, Brasil"
Tom Aspinall,27,"Salford, Reino Unido"
Shamil Abdurakhimov,39,"Dagestan Republic, Rússia"
Marcin Tybura,34,"Uniejow, Polônia"
Chris Daukaus,31,"Philadelphia, Estados Unidos"
Jairzinho Rozenstruik,32,"Paramaribo, Suriname"
Alexander Volkov,33,"Moscow, Rússia"
Derrick Lewis,35,"New Orleans, Estados Unidos"
Curtis Blaydes,29,"Naperville, Estados Unidos"
Tai Tuivasa,27,"Kingswood, Austrália"
